wine_id,region,country,region_label,grape,price,vintage_quality,winemaking_score,region_prestige,region_terroir,scarcity,oak_months,residual_sugar,alcohol,true_quality,blind_rating_expert,blind_rating_novice,blind_rating,sighted_rating,overpriced,value_wine,placebo_effect
WIN000029,generic_new_world,,Outras (novo mundo),tempranillo,32.3,8.9,5.08,3.0,5.0,5.15,19,11.1,14.8,88.1,89.8,89.8,89.8,92.7,0,0,2.9
WIN000030,generic_new_world,,Outras (novo mundo),pinot_noir,4.12,2.7,6.18,3.0,5.0,1.98,6,2.8,14.9,82.1,79.3,82.2,80.8,75.0,0,0,-5.8
WIN000031,generic_new_world,,Outras (novo mundo),cab_sauv,4.92,2.64,4.29,3.0,5.0,4.88,23,0.1,13.7,73.7,71.9,79.8,75.8,70.0,0,0,-5.8
WIN000032,Rioja,Spain,Rioja,merlot,4.8,2.5,6.98,6.0,6.0,0.72,11,1.7,11.7,82.1,83.4,89.6,86.5,79.5,0,1,-7.0
WIN000033,generic_new_world,,Outras (novo mundo),tempranillo,18.13,6.91,5.5,3.0,5.0,5.06,12,2.4,13.6,84.4,84.6,84.5,84.6,81.7,0,0,-2.9
WIN000034,Barossa,Australia,Barossa Valley,blend,39.09,3.92,3.93,6.0,6.0,8.66,35,1.3,13.0,78.0,80.5,81.4,81.0,83.5,1,0,2.5
WIN000035,Rioja,Spain,Rioja,blend,18.52,4.44,10.0,6.0,6.0,7.26,3,0.5,14.4,84.2,84.5,84.9,84.7,81.3,0,0,-3.4
WIN000036,generic_new_world,,Outras (novo mundo),tempranillo,5.81,5.79,5.84,3.0,5.0,6.51,12,2.2,14.4,78.6,76.9,78.2,77.6,74.1,0,0,-3.5
WIN000037,Tuscany,Italy,Toscana,merlot,57.73,5.53,9.72,7.0,7.0,6.8,30,2.0,12.7,90.1,89.2,87.5,88.4,89.5,0,0,1.1
WIN000038,Barossa,Australia,Barossa Valley,blend,28.48,6.58,4.92,6.0,6.0,5.79,15,2.4,13.2,87.1,86.5,84.3,85.4,84.6,0,0,-0.8
WIN000039,Napa,United States,Napa Valley,pinot_noir,26.48,2.91,4.51,8.0,7.0,8.48,4,3.7,12.5,79.3,81.4,82.1,81.8,82.1,0,0,0.3
WIN000040,generic_new_world,,Outras (novo mundo),sangiovese,28.0,6.63,2.72,3.0,5.0,6.74,13,1.5,15.7,78.7,81.4,78.9,80.2,80.7,0,0,0.5
WIN000041,Rioja,Spain,Rioja,malbec,19.76,4.74,4.07,6.0,6.0,7.04,9,2.3,14.8,79.6,77.5,78.1,77.8,78.1,0,0,0.3
WIN000042,Barossa,Australia,Barossa Valley,pinot_noir,10.63,3.75,5.1,6.0,6.0,5.17,19,3.4,12.8,79.4,78.2,81.7,80.0,76.7,0,0,-3.3
WIN000043,generic_new_world,,Outras (novo mundo),blend,4.0,6.52,5.55,3.0,5.0,6.0,4,2.4,13.8,83.3,85.0,80.8,82.9,79.4,0,0,-3.5
WIN000044,Mendoza,Argentina,Mendoza,blend,16.1,5.93,3.87,5.0,6.0,6.36,4,0.4,12.1,80.8,78.8,81.4,80.1,77.1,0,0,-3.0
WIN000045,Rioja,Spain,Rioja,shiraz,9.4,2.81,8.49,6.0,6.0,2.82,7,2.2,12.3,76.4,80.7,77.9,79.3,75.2,0,0,-4.1
WIN000046,Burgundy,France,Borgonha,cab_sauv,124.56,6.94,9.4,9.0,8.0,10.0,15,4.0,12.8,92.6,92.9,86.9,89.9,95.9,0,0,6.0
WIN000047,Bordeaux,France,Bordeaux,merlot,22.61,2.1,5.31,9.0,7.0,6.09,12,0.7,11.9,79.5,84.7,76.5,80.6,80.5,0,0,-0.1
WIN000048,generic_new_world,,Outras (novo mundo),malbec,10.35,6.43,6.05,3.0,5.0,4.65,7,3.7,15.8,84.1,80.8,87.3,84.0,80.8,0,1,-3.2
WIN000049,Napa,United States,Napa Valley,malbec,34.01,5.27,4.0,8.0,7.0,5.66,16,0.2,12.7,85.0,86.1,82.1,84.1,82.1,0,0,-2.0
WIN000050,Bordeaux,France,Bordeaux,blend,23.31,2.38,6.38,9.0,7.0,6.09,16,11.3,10.7,79.4,77.9,80.0,79.0,78.2,0,0,-0.8
WIN000051,generic_new_world,,Outras (novo mundo),pinot_noir,22.82,1.8,4.47,3.0,5.0,5.13,13,1.9,12.5,72.0,70.6,74.9,72.8,73.4,0,0,0.6
WIN000052,Rioja,Spain,Rioja,shiraz,27.61,7.06,6.44,6.0,6.0,3.95,5,5.0,15.4,87.2,88.2,88.8,88.5,87.1,0,0,-1.4
WIN000053,Barossa,Australia,Barossa Valley,pinot_noir,12.21,8.52,0.68,6.0,6.0,6.27,3,4.3,13.3,79.1,77.2,80.5,78.8,77.4,0,0,-1.4
WIN000054,Rioja,Spain,Rioja,cab_sauv,23.34,3.44,6.63,6.0,6.0,6.52,11,10.0,13.6,88.5,88.0,90.8,89.4,90.0,0,0,0.6
WIN000055,generic_new_world,,Outras (novo mundo),blend,36.26,5.02,3.4,3.0,5.0,5.9,7,7.5,13.6,75.9,76.5,83.9,80.2,83.7,1,0,3.5
WIN000056,generic_new_world,,Outras (novo mundo),blend,13.0,3.05,5.11,3.0,5.0,5.71,3,7.2,12.9,75.7,70.0,85.3,77.6,77.4,0,0,-0.2
WIN000057,generic_new_world,,Outras (novo mundo),sangiovese,4.92,6.58,7.22,3.0,5.0,2.66,20,2.2,13.9,84.1,86.8,86.6,86.7,80.5,0,1,-6.2
WIN000058,Barossa,Australia,Barossa Valley,sangiovese,29.83,6.45,4.75,6.0,6.0,3.84,12,2.9,13.2,86.4,90.9,81.8,86.4,86.0,0,0,-0.4
WIN000059,Bordeaux,France,Bordeaux,cab_sauv,16.64,5.91,6.16,9.0,7.0,7.93,5,1.9,11.3,86.6,88.2,88.6,88.4,90.2,0,1,1.8
WIN000060,Tuscany,Italy,Toscana,cab_sauv,33.74,9.22,4.71,7.0,7.0,6.91,12,0.8,14.9,90.0,88.7,79.5,84.1,83.6,0,0,-0.5
WIN000061,Bordeaux,France,Bordeaux,sangiovese,73.98,6.03,6.0,9.0,7.0,7.26,6,5.4,13.3,84.0,78.9,78.6,78.8,81.8,1,0,3.0
WIN000062,Tuscany,Italy,Toscana,merlot,11.48,7.07,4.13,7.0,7.0,4.09,7,3.9,11.2,84.4,78.7,84.1,81.4,79.6,0,0,-1.8
WIN000063,Bordeaux,France,Bordeaux,pinot_noir,21.62,4.86,5.81,9.0,7.0,8.62,30,1.7,12.6,86.2,83.7,75.7,79.7,81.4,0,0,1.7
WIN000064,Napa,United States,Napa Valley,blend,4.56,2.79,3.8,8.0,7.0,5.43,48,2.6,12.2,82.4,83.8,77.6,80.7,75.5,0,0,-5.2
WIN000065,Tuscany,Italy,Toscana,shiraz,44.93,6.15,5.57,7.0,7.0,9.13,6,4.1,11.4,86.4,80.4,87.9,84.2,84.7,0,0,0.5
WIN000066,Napa,United States,Napa Valley,sangiovese,21.21,5.78,7.49,8.0,7.0,4.19,5,10.7,12.7,85.0,86.4,84.4,85.4,84.9,0,0,-0.5
WIN000067,Tuscany,Italy,Toscana,pinot_noir,14.89,4.58,4.46,7.0,7.0,7.18,18,3.5,12.5,85.1,83.3,81.2,82.2,77.1,0,0,-5.1
WIN000068,generic_new_world,,Outras (novo mundo),shiraz,20.47,4.1,4.34,3.0,5.0,3.2,4,0.3,13.3,78.2,77.9,84.0,81.0,81.8,0,0,0.8
WIN000069,Napa,United States,Napa Valley,merlot,40.02,5.9,6.76,8.0,7.0,7.16,9,1.9,12.8,85.9,89.5,83.5,86.5,89.1,0,0,2.6
WIN000070,Tuscany,Italy,Toscana,pinot_noir,63.2,6.52,6.99,7.0,7.0,7.75,5,2.8,13.8,88.6,88.6,84.9,86.8,88.6,0,0,1.8
WIN000071,Napa,United States,Napa Valley,cab_sauv,29.65,9.3,4.41,8.0,7.0,4.42,9,1.7,13.9,87.9,87.8,86.9,87.4,89.0,0,0,1.6
WIN000072,Barossa,Australia,Barossa Valley,blend,10.73,6.11,6.16,6.0,6.0,4.53,5,1.1,12.1,80.8,77.5,79.6,78.6,78.2,0,0,-0.4
WIN000073,Burgundy,France,Borgonha,blend,58.48,1.23,2.82,9.0,8.0,6.99,6,6.3,12.9,74.5,72.4,73.5,73.0,75.2,1,0,2.2
WIN000074,Napa,United States,Napa Valley,cab_sauv,52.25,6.83,6.98,8.0,7.0,8.45,22,1.9,14.6,86.9,90.3,81.6,85.9,91.3,0,0,5.4
WIN000075,Tuscany,Italy,Toscana,cab_sauv,49.51,7.79,4.38,7.0,7.0,7.41,19,7.1,12.3,82.9,85.3,84.1,84.7,85.7,0,0,1.0
WIN000076,Napa,United States,Napa Valley,cab_sauv,38.86,6.02,3.75,8.0,7.0,7.55,29,3.6,14.4,83.4,84.2,83.4,83.8,85.0,0,0,1.2
WIN000077,Bordeaux,France,Bordeaux,pinot_noir,102.41,0.44,4.04,9.0,7.0,3.45,9,0.5,13.3,74.6,70.7,70.3,70.5,73.7,1,0,3.2
WIN000078,Rioja,Spain,Rioja,tempranillo,26.23,5.51,5.4,6.0,6.0,6.68,5,1.6,16.7,78.1,79.1,80.9,80.0,78.6,0,0,-1.4
WIN000079,generic_new_world,,Outras (novo mundo),cab_sauv,13.51,4.24,5.78,3.0,5.0,5.02,11,3.5,14.4,81.2,85.2,89.9,87.6,86.9,0,1,-0.7
WIN000080,Napa,United States,Napa Valley,tempranillo,118.39,3.29,6.47,8.0,7.0,9.41,14,0.3,11.6,82.6,86.2,79.2,82.7,91.1,0,0,8.4
WIN000081,Barossa,Australia,Barossa Valley,cab_sauv,9.41,4.46,6.04,6.0,6.0,4.68,19,6.5,12.5,81.6,79.7,85.1,82.4,79.2,0,0,-3.2
WIN000082,Bordeaux,France,Bordeaux,blend,16.1,4.56,8.42,9.0,7.0,6.53,25,5.3,12.1,84.9,85.3,86.3,85.8,83.3,0,1,-2.5
WIN000083,Burgundy,France,Borgonha,cab_sauv,41.31,5.24,3.15,9.0,8.0,8.66,5,2.6,13.6,82.5,88.5,81.1,84.8,86.8,0,0,2.0
WIN000084,Bordeaux,France,Bordeaux,merlot,71.07,6.18,8.3,9.0,7.0,8.83,13,0.9,15.3,88.1,85.6,87.7,86.6,91.6,0,0,5.0
WIN000085,Napa,United States,Napa Valley,pinot_noir,30.1,6.24,6.83,8.0,7.0,9.96,6,0.8,13.8,83.6,84.1,77.4,80.8,80.0,0,0,-0.8
WIN000086,Bordeaux,France,Bordeaux,pinot_noir,180.02,4.17,3.36,9.0,7.0,10.0,27,1.5,13.3,83.3,80.5,81.4,81.0,86.2,1,0,5.2
WIN000087,Burgundy,France,Borgonha,cab_sauv,63.5,3.88,3.69,9.0,8.0,4.95,25,1.4,13.1,80.4,81.4,75.9,78.6,80.4,1,0,1.8
WIN000088,Barossa,Australia,Barossa Valley,tempranillo,74.28,5.02,6.2,6.0,6.0,9.21,7,0.9,13.2,85.6,85.2,88.3,86.8,90.9,0,0,4.1
WIN000089,Mendoza,Argentina,Mendoza,blend,54.4,6.48,5.47,5.0,6.0,10.0,14,0.5,13.2,85.8,82.7,84.4,83.6,90.1,0,0,6.5
WIN000090,Mendoza,Argentina,Mendoza,sangiovese,22.18,5.78,1.38,5.0,6.0,6.73,36,4.1,13.3,82.2,82.8,76.8,79.8,79.6,0,0,-0.2
WIN000091,Bordeaux,France,Bordeaux,tempranillo,55.73,5.45,4.84,9.0,7.0,7.26,13,6.4,12.1,83.0,84.3,89.1,86.7,89.8,0,0,3.1
WIN000092,Tuscany,Italy,Toscana,sangiovese,51.01,2.66,6.29,7.0,7.0,10.0,10,2.0,13.6,82.3,82.6,86.9,84.8,85.1,0,0,0.3
WIN000093,generic_new_world,,Outras (novo mundo),malbec,7.54,0.33,5.9,3.0,5.0,3.2,4,2.1,14.5,76.1,75.3,80.2,77.8,75.8,0,0,-2.0
WIN000094,Bordeaux,France,Bordeaux,malbec,15.61,3.91,4.61,9.0,7.0,7.0,19,0.9,15.5,81.4,79.1,82.7,80.9,78.8,0,0,-2.1
WIN000095,generic_new_world,,Outras (novo mundo),malbec,10.09,6.01,3.69,3.0,5.0,7.11,15,1.1,12.6,79.0,80.5,81.8,81.2,77.9,0,0,-3.3
WIN000096,Napa,United States,Napa Valley,blend,10.35,5.73,3.04,8.0,7.0,6.61,6,3.9,13.8,80.9,81.3,87.4,84.4,82.6,0,1,-1.8
WIN000097,generic_new_world,,Outras (novo mundo),cab_sauv,16.69,2.7,4.55,3.0,5.0,4.66,12,1.3,12.2,78.8,78.6,83.7,81.2,80.0,0,0,-1.2
WIN000098,Napa,United States,Napa Valley,shiraz,24.74,5.97,3.41,8.0,7.0,4.64,10,13.4,13.5,84.7,81.6,85.8,83.7,84.8,0,0,1.1
WIN000099,Bordeaux,France,Bordeaux,blend,54.05,5.94,3.08,9.0,7.0,8.59,10,3.7,10.7,82.5,84.0,81.9,83.0,86.4,0,0,3.4
WIN000100,Barossa,Australia,Barossa Valley,pinot_noir,51.43,1.54,4.69,6.0,6.0,8.24,6,3.5,13.7,71.9,74.4,72.6,73.5,76.2,1,0,2.7
WIN000101,Tuscany,Italy,Toscana,pinot_noir,20.48,6.45,8.76,7.0,7.0,4.9,11,1.7,14.7,90.2,89.6,86.6,88.1,88.3,0,0,0.2
WIN000102,generic_new_world,,Outras (novo mundo),cab_sauv,4.43,8.3,7.9,3.0,5.0,4.82,9,1.4,13.9,87.1,88.1,86.6,87.4,81.5,0,1,-5.9
WIN000103,Barossa,Australia,Barossa Valley,sangiovese,70.92,2.79,3.96,6.0,6.0,10.0,8,0.4,14.1,75.9,78.2,73.5,75.8,79.7,1,0,3.9
WIN000104,Napa,United States,Napa Valley,shiraz,14.64,4.43,4.88,8.0,7.0,3.94,24,4.2,13.0,85.0,88.8,81.9,85.4,82.8,0,1,-2.6
WIN000105,Napa,United States,Napa Valley,cab_sauv,21.61,8.48,3.76,8.0,7.0,2.92,1,3.5,13.7,87.9,88.0,93.4,90.7,93.6,0,0,2.9
WIN000106,generic_new_world,,Outras (novo mundo),shiraz,27.9,3.05,1.57,3.0,5.0,5.69,9,2.2,14.3,73.7,72.7,74.2,73.4,74.5,0,0,1.1
WIN000107,Rioja,Spain,Rioja,shiraz,11.31,6.78,6.38,6.0,6.0,3.73,21,9.6,13.6,86.5,87.9,91.1,89.5,86.1,0,1,-3.4
WIN000108,Barossa,Australia,Barossa Valley,pinot_noir,34.54,1.77,2.02,6.0,6.0,8.49,21,1.0,11.6,70.8,74.3,70.0,72.2,74.6,1,0,2.4
WIN000109,Barossa,Australia,Barossa Valley,shiraz,11.57,5.04,5.82,6.0,6.0,4.54,35,0.7,12.8,84.5,83.9,77.5,80.7,77.4,0,0,-3.3
WIN000110,generic_new_world,,Outras (novo mundo),blend,7.57,7.58,3.79,3.0,5.0,5.57,10,0.9,13.4,79.9,77.8,80.3,79.0,74.2,0,0,-4.8
WIN000111,Tuscany,Italy,Toscana,shiraz,108.39,5.15,6.69,7.0,7.0,8.91,7,3.3,13.8,87.5,87.0,83.7,85.4,89.8,0,0,4.4
WIN000112,Tuscany,Italy,Toscana,tempranillo,41.22,2.44,4.64,7.0,7.0,6.99,2,1.4,14.2,75.6,78.2,78.4,78.3,80.5,1,0,2.2
WIN000113,generic_new_world,,Outras (novo mundo),merlot,20.16,2.44,3.26,3.0,5.0,4.08,8,3.2,14.1,72.1,76.5,77.5,77.0,76.1,0,0,-0.9
WIN000114,Tuscany,Italy,Toscana,pinot_noir,25.7,5.77,5.26,7.0,7.0,5.72,11,3.2,12.9,82.3,81.8,84.2,83.0,85.0,0,0,2.0
WIN000115,Burgundy,France,Borgonha,tempranillo,50.93,4.2,2.25,9.0,8.0,7.64,14,1.3,14.5,79.5,78.4,79.0,78.7,80.2,1,0,1.5
WIN000116,generic_new_world,,Outras (novo mundo),tempranillo,4.11,6.54,6.23,3.0,5.0,3.19,24,3.0,12.5,84.9,82.3,84.6,83.4,79.3,0,0,-4.1
WIN000117,Barossa,Australia,Barossa Valley,shiraz,48.1,6.96,7.62,6.0,6.0,6.26,11,2.3,12.4,88.4,89.9,85.1,87.5,88.4,0,0,0.9
WIN000118,Mendoza,Argentina,Mendoza,tempranillo,10.32,7.69,6.16,5.0,6.0,9.89,8,7.1,12.8,82.1,81.7,90.1,85.9,81.9,0,1,-4.0
WIN000119,generic_new_world,,Outras (novo mundo),cab_sauv,12.14,4.15,2.23,3.0,5.0,4.2,7,3.4,12.5,72.9,72.3,78.3,75.3,71.3,0,0,-4.0
WIN000120,Bordeaux,France,Bordeaux,merlot,76.06,6.09,6.68,9.0,7.0,6.94,5,2.1,12.5,89.3,89.0,83.4,86.2,90.4,0,0,4.2
WIN000121,Burgundy,France,Borgonha,tempranillo,37.19,2.9,5.28,9.0,8.0,9.33,16,1.7,14.6,82.4,87.2,80.5,83.8,87.1,0,0,3.3
WIN000122,Tuscany,Italy,Toscana,blend,19.82,2.6,9.15,7.0,7.0,4.89,13,5.6,13.9,88.7,85.1,83.5,84.3,84.9,0,0,0.6
WIN000123,generic_new_world,,Outras (novo mundo),merlot,15.63,7.01,7.75,3.0,5.0,3.01,10,6.0,13.4,88.1,91.0,91.1,91.0,92.4,0,1,1.4
WIN000124,Burgundy,France,Borgonha,malbec,39.86,9.97,7.03,9.0,8.0,6.02,15,0.6,13.6,95.8,93.6,90.0,91.8,94.7,0,0,2.9
WIN000125,generic_new_world,,Outras (novo mundo),blend,9.4,7.7,4.59,3.0,5.0,3.04,12,4.5,14.5,83.5,82.9,89.3,86.1,82.6,0,1,-3.5
WIN000126,Barossa,Australia,Barossa Valley,malbec,17.96,6.07,3.5,6.0,6.0,7.84,3,5.9,13.5,83.2,81.3,78.1,79.7,77.1,0,0,-2.6
WIN000127,Tuscany,Italy,Toscana,cab_sauv,31.01,4.43,5.52,7.0,7.0,5.04,8,1.2,13.7,84.9,81.3,86.4,83.8,85.4,0,0,1.6
WIN000128,Tuscany,Italy,Toscana,blend,21.94,6.68,4.31,7.0,7.0,9.99,4,1.2,13.6,85.3,85.4,83.4,84.4,83.5,0,0,-0.9
WIN000129,Barossa,Australia,Barossa Valley,tempranillo,16.83,4.46,2.91,6.0,6.0,10.0,15,1.2,10.9,76.9,76.2,77.9,77.1,74.5,0,0,-2.6
WIN000130,Bordeaux,France,Bordeaux,tempranillo,62.31,5.14,8.37,9.0,7.0,6.39,9,1.1,13.0,87.1,90.7,81.6,86.2,89.2,0,0,3.0
WIN000131,Mendoza,Argentina,Mendoza,tempranillo,88.41,6.02,5.34,5.0,6.0,8.31,7,3.7,13.5,84.2,85.5,80.6,83.0,87.4,0,0,4.4
WIN000132,Napa,United States,Napa Valley,merlot,45.87,4.95,5.74,8.0,7.0,10.0,12,3.9,11.6,86.3,86.1,84.6,85.4,85.8,0,0,0.4
WIN000133,Tuscany,Italy,Toscana,blend,49.47,5.4,5.02,7.0,7.0,7.0,8,1.0,13.9,84.4,84.9,80.8,82.8,82.1,0,0,-0.7
WIN000134,generic_new_world,,Outras (novo mundo),blend,16.98,2.59,5.56,3.0,5.0,7.32,8,1.4,11.3,81.6,80.2,82.0,81.1,83.6,0,0,2.5
WIN000135,Burgundy,France,Borgonha,pinot_noir,56.18,3.02,6.41,9.0,8.0,10.0,6,3.3,14.4,82.1,83.2,82.2,82.7,82.8,0,0,0.1
WIN000136,generic_new_world,,Outras (novo mundo),malbec,20.89,4.47,7.12,3.0,5.0,6.77,6,8.1,12.7,79.8,83.7,83.2,83.4,83.3,0,0,-0.1
WIN000137,Rioja,Spain,Rioja,cab_sauv,16.89,3.12,5.92,6.0,6.0,6.21,28,1.3,13.6,81.7,83.0,83.7,83.4,81.7,0,0,-1.7
WIN000138,Bordeaux,France,Bordeaux,blend,105.62,3.56,5.82,9.0,7.0,8.7,16,1.2,13.8,84.1,87.4,79.3,83.4,88.4,0,0,5.0
WIN000139,Napa,United States,Napa Valley,pinot_noir,27.71,8.16,4.75,8.0,7.0,7.5,7,0.3,14.9,88.8,86.6,85.8,86.2,87.0,0,0,0.8
WIN000140,Bordeaux,France,Bordeaux,cab_sauv,33.68,6.57,6.35,9.0,7.0,7.14,7,1.6,14.7,88.0,89.4,87.7,88.6,91.9,0,0,3.3
WIN000141,Tuscany,Italy,Toscana,cab_sauv,33.44,3.72,1.6,7.0,7.0,6.93,18,4.6,14.0,76.9,77.3,74.5,75.9,76.6,0,0,0.7
WIN000142,Barossa,Australia,Barossa Valley,cab_sauv,18.25,8.21,3.29,6.0,6.0,10.0,9,7.7,13.7,86.4,84.7,85.3,85.0,81.9,0,0,-3.1
WIN000143,generic_new_world,,Outras (novo mundo),merlot,23.76,7.63,6.01,3.0,5.0,3.73,14,1.2,13.8,86.9,87.1,87.4,87.2,89.5,0,0,2.3
WIN000144,Rioja,Spain,Rioja,malbec,76.74,1.36,5.86,6.0,6.0,9.31,14,3.1,14.9,76.4,74.1,73.7,73.9,76.5,1,0,2.6
WIN000145,Rioja,Spain,Rioja,merlot,23.82,1.14,4.01,6.0,6.0,9.42,25,0.8,13.7,78.9,79.6,73.5,76.6,76.0,0,0,-0.6
WIN000146,Rioja,Spain,Rioja,cab_sauv,23.72,5.38,2.03,6.0,6.0,8.58,11,3.6,14.6,76.7,75.6,78.1,76.8,77.6,0,0,0.8
WIN000147,Bordeaux,France,Bordeaux,cab_sauv,41.74,3.74,3.74,9.0,7.0,7.71,10,2.4,13.8,76.4,80.6,76.8,78.7,80.9,1,0,2.2
WIN000148,Napa,United States,Napa Valley,cab_sauv,185.43,4.38,7.93,8.0,7.0,10.0,14,4.0,12.0,85.1,84.6,83.2,83.9,91.4,0,0,7.5
WIN000149,Napa,United States,Napa Valley,cab_sauv,37.13,6.36,4.29,8.0,7.0,9.57,18,1.7,15.0,79.3,74.6,74.9,74.8,77.7,1,0,2.9
WIN000150,generic_new_world,,Outras (novo mundo),merlot,25.4,6.7,7.28,3.0,5.0,7.3,12,2.7,12.1,83.4,79.0,83.6,81.3,82.6,0,0,1.3
WIN000151,Mendoza,Argentina,Mendoza,cab_sauv,17.51,5.99,3.87,5.0,6.0,9.22,9,2.7,15.3,78.4,81.7,80.6,81.2,81.2,0,0,0.0
WIN000152,Burgundy,France,Borgonha,merlot,41.46,1.19,7.28,9.0,8.0,10.0,7,2.8,13.1,79.1,78.9,76.0,77.4,80.4,1,0,3.0
